Citation 1,Citation 2,Conection Type,Text 1,Text 2,Category 1,Category 2
Akeidat Yitzchak 18:23,Psalms 89:21,,Akeidat Yitzchak,Psalms,Parshanut,Tanach
Akeidat Yitzchak 18:23,Genesis 6:8,,Akeidat Yitzchak,Genesis,Parshanut,Tanach
Akeidat Yitzchak 18:23,Nehemiah 9:8,,Akeidat Yitzchak,Nehemiah,Parshanut,Tanach
Akeidat Yitzchak 18:23,Hosea 9:10,,Akeidat Yitzchak,Hosea,Parshanut,Tanach
Akeidat Yitzchak 18:25,I Samuel 13,,Akeidat Yitzchak,I Samuel,Parshanut,Tanach
Akeidat Yitzchak 18:26,Exodus 7:9,,Akeidat Yitzchak,Exodus,Parshanut,Tanach
Akeidat Yitzchak 18:26,Exodus 7:14,,Akeidat Yitzchak,Exodus,Parshanut,Tanach
Akeidat Yitzchak 18:29,Genesis 8:21,,Akeidat Yitzchak,Genesis,Parshanut,Tanach
Akeidat Yitzchak 18:30,Vayikra Rabbah 25,,Akeidat Yitzchak,Vayikra Rabbah,Parshanut,Midrash
Akeidat Yitzchak 18:35,Bava Batra 16a,,Akeidat Yitzchak,Bava Batra,Parshanut,Talmud
Akeidat Yitzchak 18:37,Bereishit Rabbah 48,,Akeidat Yitzchak,Bereishit Rabbah,Parshanut,Midrash
Akeidat Yitzchak 18:39,Jeremiah 9:22,,Akeidat Yitzchak,Jeremiah,Parshanut,Tanach
Akeidat Yitzchak 18:39,I Samuel 17,,Akeidat Yitzchak,I Samuel,Parshanut,Tanach
Akeidat Yitzchak 18:39,II Samuel 1,,Akeidat Yitzchak,II Samuel,Parshanut,Tanach
Akeidat Yitzchak 18:58,Bereishit Rabbah 47,,Akeidat Yitzchak,Bereishit Rabbah,Parshanut,Midrash
Akeidat Yitzchak 18:65,Genesis 17:14,,Akeidat Yitzchak,Genesis,Parshanut,Tanach
Akeidat Yitzchak 18:70,Numbers 11:21,,Akeidat Yitzchak,Numbers,Parshanut,Tanach
